name,location,category,tags
봉은사(서울),강남구,1.0,#가족여행#관광지#교과서속여행#당일치기여행#봉은사(서울)#사찰&산사
최순우 옛집,성북구,1.0,#관광지#근대한옥#기념관#아이와함께#역사#역사문화재#역사속#역사속으로
덕수궁,중구,1.0,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#가족여행
국립민속박물관&국립민속박물관 어린이박물관,종로구,1.0,#관광지
창경궁,종로구,1.0,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#가족여행
어린이 감각놀이터 디키디키,중구,1.0,#관광지#놀이시설#미세먼지_피하는_실내여행#복합문화공간#실내관광지
씨랄라 워터파크,영등포구,1.0,#관광지#남녀노소#물놀이장#실내워터파크#아이가_좋아하는_여행#아이와함께
남산골한옥마을,중구,1.0,#가족여행#관광지#남녀노소#남산골한옥마을#도심여행#수도권#아이와함께
망우리 시민공원,중랑구,1.0,#관광지#산책로#산책하기#산책하기좋은곳#역사공부#역사를품은곳
녹사평역 지하예술정원,용산구,1.0,#가족과함께#관광지#녹사평#문화공간#문화예술공간#복합문화공간
이태원 우사단길,용산구,1.0,#관광지#데이트명소#데이트하기좋은곳#서울데이트#연인과함께#우사단길
밀리오레 (동대문점),중구,1.0,#관광지#쇼핑
올림픽공원,송파구,1.0,#가족여행#걷기여행#관광지#나들이#나홀로여행#당일치기여행#데이트코스
민영환 자결터,종로구,1.0,#관광지#교과서속여행#기념비#민영환자결터#수도권#역사#역사공부
경운동민병옥가옥,종로구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
구공업전습소본관,종로구,1.0,#관광지#교과서속여행#구공업전습소본관#문화재#사적지#수도권#역사
진관사계곡,은평구,1.0,#가족과함께#관광지#늦더위피서#아이와함께#여름피서지#자연#자연관광지
도안사,노원구,1.0,#관광지#도안사#불교#불교문화#사찰#사찰여행#수도권#역사#자연좋은곳
"연의근린공원(생태학습관, 북카페)",양천구,1.0,#관광지#산책하기좋은곳#생태체험#생태탐방#아이와함께#이색체험
"아리수 정수센터 (암사,뚝섬,영등포)",강동구,1.0,#견학#관광지#뚝도아리수정수센터#산업관광#산업관광지#수도권#아리수
정동전망대,중구,1.0,#가족과함께#경치좋은곳#관광지#남녀노소#도심여행#수도권#연인과함께
서해금빛열차,용산구,1.0,#관광지#기차여행#꽃여행#서해금빛열차#이색열차#이색체험#전라권
장안평 자동차산업 종합정보센터,성동구,1.0,#가족여행#관광지#산업관광#산업관광지#수도권#아이와함께#이색체험
서울 운현궁,종로구,1.0,#관광지#수도권#아이와함께#역사#역사공부#역사관광지#역사를품은곳
서울도시건축전시관,중구,1.0,#관광지#도시건축전시관#중구
이음피움봉제역사관,종로구,1.0,#관광지#봉제역사관
경복궁,종로구,1.0,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#가족여행
서울 경교장,종로구,1.0,#건축물#건축사#건축여행#관광지#교과서속여행#근대건축#근대건축물
경희궁,종로구,1.0,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#가족여행
문화철도 959,구로구,1.0,#관광지#문화공간#문화예술#복합문화공간#아이와함께#종합예술#휴식공간
서울생활사박물관,노원구,1.0,#관광지
"서울 구 벨기에영사관(현, 서울시립미술관 남서울생활미술관)",관악구,1.0,#관광지#복합문화공간#서울구벨기에영사관#서울시립미술관#수도권
백인제가옥,종로구,1.0,#관광지#근대한옥#문화재#백인제가옥#수도권#역사#역사공부#역사관광지
광화문,종로구,1.0,#19_20한국관광100선#가족여행#경복궁#관광지#광화문#광화문#광화문광장
창덕궁 인정문,종로구,1.0,#19_20한국관광100선#19_20한국관광100선#가족여행#고궁#관광지
덕수궁 대한문,중구,1.0,#19_20한국관광100선#가족여행#고궁#관광지#교과서속여행#덕수궁대한문
경희궁 흥화문,종로구,1.0,#19_20한국관광100선#가족여행#경희궁흥화문#고궁#관광지#교과서속여행
테크노마트 강변점,광진구,1.0,#강변테크노마트#관광지#복합쇼핑몰#쇼핑#수도권
약수사(서울),관악구,1.0,#관광지#불교#불교문화#사찰#사찰#사찰여행#수도권#약수사#역사
경희궁 숭정전,중구,1.0,#관광지#역사#역사공부#역사관광#역사관광지#역사를품은곳#역사문화재
정선옹주 묘역,구로구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속
정정공강사상묘역,관악구,1.0,#관광지#서울특별시유형문화재#수도권#역사#역사공부#역사관광지
성수동 수제화거리,성동구,1.0,#가족과함께#관광지#남녀노소#데이트명소#사진찍기#사진찍기좋은곳
서울 호암산성(한우물 및 주변산성지),금천구,1.0,#관광지#사적#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재
문래예술공장,영등포구,1.0,#관광지#데이트장소추천#문화공간#복합문화공간#산책길#산책하기
눈스퀘어,중구,1.0,#관광지#쇼핑
효민공 이경직 묘역,관악구,1.0,#관광지#서울특별시유형문화재#수도권#역사#역사공부#역사관광지
환구단,중구,1.0,#관광지#사적#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재
서울 남현동 요지,관악구,1.0,#관광지#사적#서울남현동요지#수도권#역사#역사공부#역사를품은곳
고척동 고인돌,구로구,1.0,#관광지#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로
류순정류홍부자 묘역,구로구,1.0,#관광지#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로
용덕사(서울),강북구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
원통사(서울),도봉구,1.0,#관광지#불교#불교#불교문화#사찰여행#역사#원불교#자연속으로
경동시장,동대문구,1.0,#가족여행#관광지#나들이#나홀로여행#데이트코스#먹거리#서울경동시장
익선동,종로구,1.0,#가족과함께#관광지#남녀노소#데이트명소#데이트장소추천#산책하기
관악산 낙성대공원,관악구,1.0,#가족여행#관광지#관악산낙성대공원#교과서속여행#당일치기여행#서울근교여행
달마사(서울),동작구,1.0,#관광지#불교#불교문화#사찰여행#역사#원불교#자연속으로#자연환경
능인선원,강남구,1.0,#관광지#능인선원#대한불고조계종#불교#불교문화#사찰#사찰여행
KT스퀘어,종로구,1.0,#KT스퀘어#가족여행#관광지#문화공연#복합문화공간#산업관광#산업관광지
미타사(강서),강서구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연환경
일선사(서울),종로구,1.0,#관광지#도심속#불교#불교문화#사찰여행#역사#자연환경#전통사찰
서소문역사공원,중구,1.0,#관광지
